0;2;2
1;2;2
2;24;24
3;46;52
4;74;80
5;96;114
6;124;148
7;152;182
8;186;216
9;208;256
10;236;296
11;264;336
12;298;376
13;326;416
14;360;456
15;394;496
16;434;536
17;456;582
18;484;628
19;512;674
20;546;720
21;574;766
22;608;812
23;642;858
24;682;904
25;710;950
26;744;996
27;778;1042
28;818;1088
29;852;1134
30;892;1180
31;932;1226
32;978;1272
33;1000;1324
34;1028;1376
35;1056;1428
36;1090;1480
37;1118;1532
38;1152;1584
39;1186;1636
40;1226;1688
41;1254;1740
42;1288;1792
43;1322;1844
44;1362;1896
45;1396;1948
46;1436;2000
47;1476;2052
48;1522;2104
49;1550;2156
50;1584;2208
51;1618;2260
52;1658;2312
53;1692;2364
54;1732;2416
55;1772;2468
56;1818;2520
57;1852;2572
58;1892;2624
59;1932;2676
60;1978;2728
61;2018;2780
62;2064;2832
63;2110;2884
64;2162;2936
65;2184;2994
66;2212;3052
67;2240;3110
68;2274;3168
69;2302;3226
70;2336;3284
71;2370;3342
72;2410;3400
73;2438;3458
74;2472;3516
75;2506;3574
76;2546;3632
77;2580;3690
78;2620;3748
79;2660;3806
80;2706;3864
81;2734;3922
82;2768;3980
83;2802;4038
84;2842;4096
85;2876;4154
86;2916;4212
87;2956;4270
88;3002;4328
89;3036;4386
90;3076;4444
91;3116;4502
92;3162;4560
93;3202;4618
94;3248;4676
95;3294;4734
96;3346;4792
97;3374;4850
98;3408;4908
99;3442;4966